City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Mahebourg,MU,-20.4081,57.7,80.89,89,40,6.91,scattered clouds
124,Lufilufi,WS,-13.8745,-171.5986,86.79,76,75,5.91,broken clouds
125,Ariquemes,BR,-9.9133,-63.0408,71.22,99,100,1.9,heavy intensity rain
126,Klaksvik,FO,62.2266,-6.589,32.92,65,100,28.7,overcast clouds
127,Yalta,UA,44.5,34.1667,36.12,68,100,12.8,overcast clouds
128,Nelson Bay,AU,-32.7167,152.15,82.09,56,50,4.0,scattered clouds
129,Vallenar,CL,-28.5708,-70.7581,67.42,58,0,2.26,clear sky
130,Hobart,AU,-42.8794,147.3294,68.27,67,75,12.66,broken clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,75.43,92,16,15.43,few clouds
132,Havre-Saint-Pierre,CA,50.2334,-63.5986,1.4,77,0,14.97,clear sky
133,Burnie,AU,-41.0667,145.9167,77.94,53,100,8.72,overcast clouds
134,Vrangel,RU,42.7297,133.0839,21.0,39,100,5.1,overcast clouds
135,Ridgecrest,US,35.6225,-117.6709,67.46,14,0,1.01,clear sky
136,Bredasdorp,ZA,-34.5322,20.0403,67.32,73,99,8.05,overcast clouds
137,Cockburn Town,TC,21.4612,-71.1419,77.65,83,0,17.16,clear sky
138,Carauari,BR,-4.8828,-66.8958,73.08,100,100,1.1,moderate rain
139,Kavieng,PG,-2.5744,150.7967,84.43,70,84,6.33,light rain
140,Bay Roberts,CA,47.5999,-53.2648,33.51,74,100,1.99,overcast clouds
141,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
142,Borodino,RU,55.9106,94.8983,-29.06,100,97,1.99,overcast clouds
143,Rielasingen-Worblingen,DE,47.7347,8.8401,39.31,83,3,1.23,clear sky
144,Longyearbyen,SJ,78.2186,15.6401,15.64,92,75,6.91,light snow
145,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,54,75,17.9,light snow
146,Laguna,US,38.421,-121.4238,68.18,50,0,3.44,clear sky
147,Carutapera,BR,-1.195,-46.02,77.02,90,100,6.69,overcast clouds
148,Warwick,US,41.7001,-71.4162,30.06,92,100,11.5,snow
149,Pevek,RU,69.7008,170.3133,-15.95,97,100,8.41,overcast clouds
150,Leshukonskoye,RU,64.8989,45.7622,1.47,95,89,6.44,overcast clouds
151,Berlevag,NO,70.8578,29.0864,20.75,90,100,7.29,light snow
152,Mount Isa,AU,-20.7333,139.5,89.37,45,93,12.66,overcast clouds
153,Baghmara,IN,23.795,86.2085,59.29,39,4,3.02,clear sky
154,Punta De Bombon,PE,-17.1717,-71.7931,70.7,81,99,6.08,overcast clouds
155,Saint-Raymond,CA,45.467,-73.6095,6.1,64,75,9.22,broken clouds
156,Plastun,RU,44.7561,136.2939,24.28,60,94,4.81,overcast clouds
157,Pascagoula,US,30.3658,-88.5561,42.85,80,0,0.0,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,21.36,91,100,20.71,light snow
159,Huixtla,MX,15.15,-92.4667,78.48,65,65,5.1,broken clouds
160,Bilibino,RU,68.0546,166.4372,-22.95,98,89,1.5,overcast clouds
161,Wajima,JP,37.4,136.9,39.88,60,40,10.36,scattered clouds
