City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
43,Lloydminster,CA,2022-02-11 02:54:20,53.2835,-110.0016,28.08,86,100,18.41
44,Port Alfred,ZA,2022-02-11 02:54:21,-33.5906,26.891,66.85,86,6,5.88
45,Phan Thiet,VN,2022-02-11 02:52:54,10.9333,108.1,86.79,52,95,10.85
46,Katsuura,JP,2022-02-11 02:54:21,35.1333,140.3,50.18,63,97,18.59
47,Silver City,US,2022-02-11 02:54:21,32.7701,-108.2803,48.63,32,0,4.0
48,Avera,US,2022-02-11 02:54:22,33.194,-82.5271,49.51,54,8,4.76
49,Beloha,MG,2022-02-11 02:54:22,-25.1667,45.05,73.85,89,74,9.42
50,Cape Town,ZA,2022-02-11 02:50:03,-33.9258,18.4232,63.27,78,0,4.61
51,Sao Felix Do Xingu,BR,2022-02-11 02:54:22,-6.6447,-51.995,72.1,98,99,0.11
52,Hobart,AU,2022-02-11 02:54:23,-42.8794,147.3294,69.12,52,40,20.71
53,Saldanha,ZA,2022-02-11 02:54:23,-33.0117,17.9442,57.25,87,0,10.87
54,Olga,RU,2022-02-11 02:54:23,43.7444,135.2892,30.74,63,85,2.3
55,Tuatapere,NZ,2022-02-11 02:54:23,-46.1333,167.6833,63.82,73,70,9.75
56,Nanortalik,GL,2022-02-11 02:54:24,60.1432,-45.2371,26.94,64,100,4.56
57,Nuuk,GL,2022-02-11 02:54:24,64.1835,-51.7216,27.88,74,100,15.99
58,Krasnouralsk,RU,2022-02-11 02:54:24,58.3638,60.0407,9.46,93,100,11.83
59,Ushuaia,AR,2022-02-11 02:54:25,-54.8,-68.3,44.26,81,40,23.02
60,Bograd,RU,2022-02-11 02:54:25,54.2344,90.8328,-27.09,96,36,2.55
61,Chaman,PK,2022-02-11 02:54:26,30.9236,66.4512,43.59,29,0,3.06
62,Soyo,AO,2022-02-11 02:54:26,-6.1349,12.3689,75.96,89,48,8.28
63,Saint-Francois,FR,2022-02-11 02:54:26,46.4154,3.9054,44.04,93,100,11.5
64,Tasiilaq,GL,2022-02-11 02:54:26,65.6145,-37.6368,7.48,62,100,5.86
65,Burnie,AU,2022-02-11 02:54:27,-41.0667,145.9167,73.94,33,0,9.01
66,San Cristobal,VE,2022-02-11 02:54:27,7.7669,-72.225,71.78,91,84,1.54
67,Torbay,CA,2022-02-11 02:54:27,47.6666,-52.7314,32.76,89,75,14.97
68,Santa Cruz,BO,2022-02-11 02:51:01,-17.8,-63.1667,76.46,78,49,5.75
69,Flinders,AU,2022-02-11 02:54:28,-34.5833,150.8552,74.17,78,100,10.0
70,Lompoc,US,2022-02-11 02:54:28,34.6391,-120.4579,68.77,40,0,1.01
71,Saint George,US,2022-02-11 02:53:33,37.1041,-113.5841,60.26,35,0,9.22
72,Upernavik,GL,2022-02-11 02:54:28,72.7868,-56.1549,-16.4,99,67,5.32
73,Hithadhoo,MV,2022-02-11 02:54:29,-0.6,73.0833,80.94,68,100,3.44
74,Avarua,CK,2022-02-11 02:50:11,-21.2078,-159.775,78.85,78,75,9.22
75,Puerto Madryn,AR,2022-02-11 02:54:11,-42.7692,-65.0385,59.29,55,0,13.49
76,Chuy,UY,2022-02-11 02:54:29,-33.6971,-53.4616,69.49,82,0,10.31
77,Ribeira Grande,PT,2022-02-11 02:54:29,38.5167,-28.7,59.99,70,100,9.62
78,Klaksvik,FO,2022-02-11 02:54:30,62.2266,-6.589,38.32,67,94,27.36
79,Leningradskiy,RU,2022-02-11 02:54:30,69.3833,178.4167,-25.35,96,62,3.22
80,Carnarvon,AU,2022-02-11 02:54:30,-24.8667,113.6333,93.27,43,16,10.36
81,Kapaa,US,2022-02-11 02:54:31,22.0752,-159.319,77.18,68,25,1.99
82,Moussoro,TD,2022-02-11 02:54:31,13.6408,16.4901,59.25,24,1,17.38
